Id,Profile Name,Number of deaths,Number of infected,Number of healed,Comment,Like,Comment timestamp,Post timestamp,URL,Annotator1,Annotator2,Annotator3,Final annotation
13,Pranvera Bardhi Berisha,0,11,2,na mytet me rrena . ‍♀️,0,"Monday, May 11, 2020 9:44pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
14,Dija Lika,0,11,2,"Plandemia 100%    propagand,  ky është  qellim politik!  Protesta ne e gjithe boten   kunder vaksines!   Informohuni  o njerez!",2,"Monday, May 11, 2020 9:40pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,1,0,0
15,Qlirim Bytyqi,0,11,2,Kto jan kret rrena edhe pak koh ka mbet me kuptu poplli ket rren  per 1 jav veq nga ni rast e 70-80 te sheruar e tash veq 2 nuk ka kurfar logjike ktu veq po bani numra sa me mar ndima nga shtetet tjera,5,"Monday, May 11, 2020 9:20pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
16,Shpeti Shpeti,0,11,2,ktu 24 ore jo 90 minuta levizje shteti i dobt pse more spo i pajisni policine me thupra une jam ne pritje te ketij seni,0,"Monday, May 11, 2020 9:17pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
17,Talat Hasani,0,11,2,E keni lshu n'ler,0,"Monday, May 11, 2020 9:16pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,0,0,0
18,Patriot Gashi,0,11,2,"a jane 6 nga kta prej te karantinuarve !? eshte mire me sqaru per mos me na akuzu shume se te karantinuarit nuk kan te bajn me masat tona po shtetev tjera , po ashtu nuk mundeni me na akuzu neve per mos respektim masash se kjo val ndodhi ne spital e mjekt kan pas drejte levizje vazhdimishte dhe ne karantine edhe ne ore policore......",1,"Monday, May 11, 2020 9:06pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
19,Genta Zeka,0,11,2,Mos u mashtroni o njerez hulumtoniiiiiii telefonat i keni hapni syt edhe trunin shtine n funksion se virusi ndoshta egziston por edhe e kan kriju gjendjen alarmante per arsye se njerezit kan frike te madhe.Brenda dites ne Kosove vdesin 12-14 persona ne dite nga semundjet e zemres por dhe nga semundjet tjera qe ket shifer e ngrit akoma me larte e pastaj njerezit qe kan vdekur brenda ktyre 2 muajve vetem ne vetvrasje apo ne tentativa tjera qe te gjith e dime pak a shum sa njerez kan ndruar jete vetem tu u bazu ne njofshmeri familjare pa i shiku rrjetet sociale me lajme vdekjeje e pas kesaj llogarisim vdekjet qe kan pasu brenda ktyre 2 muajve te plote vetem nga Covid-19 qe per secilen vdekje kan ofru informim qe kan pasur edhe semundje tjera shoqeruese dhe si perfundim ofrohet e verteta qe ky virus nuk eshte i rrezikshem qysh kta po thojn se po t ish kon i rrezikshem kta infektologt tan skishin punu as privat mo e as me te shpis t vet skishin nejt.,0,"Monday, May 11, 2020 9:02pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
20,Kujtim Qela,0,11,2,"Marre per te gjithe ne, duhet 90 sec me na lejua neve jasht shtepive jo me shume, mire e ka  B.E. qe sna pranon. ",1,"Monday, May 11, 2020 9:01pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
21,Yll S. Zyrapi,0,11,2,O neser jau bi do huder se ju kan marr msysh qeto dit e fundit... E mos tbojn kta mashalla,0,"Monday, May 11, 2020 8:56pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,0,1,1
22,Adnan Hyseni,0,11,2,gilani paska kursy sood mir ,0,"Monday, May 11, 2020 8:47pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,1,0,1
23,Fitim Selimi,0,11,2,Qudi as nuk po shnoshen ma nashta ajri u prish !!!,0,"Monday, May 11, 2020 8:47pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,0,1,1
24,Muhamet Fetaj,0,11,2,"I. V., pajtohem me ju. Pervec asaj shkalla e vdekshmerise te semureve me kancer eshte shume here me e larte se ajo me Covid.",3,"Monday, May 11, 2020 8:42pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
25,Edon Maloku,0,11,2,"Kerka sjeni me matematika, boni pak me tbukra ma tbesushme ,ju qysh ja keni nis,jo karantina jo pi hekim jo tash apet pi vnojim etj etj kan me shku vite pa u kfill ,mbrem e kam then e po e them prap:shnosh e pa grosh kan thon pleqt sjetohet !",2,"Monday, May 11, 2020 8:42pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,1,0,0
26,Albert Robelli,0,11,2,"Per ju qe po ju doket interesant pse u zvoglu numri i te sheruarve, duhni me kuptu qe shifrat e mdhaja kur dilshin mbi 50 raste kan ndodh mrenda ni periudhe te shkurt.Ata qysh jon infektu ne te njejten kohe ashtu edhe jon sheru peraferisht te njejte.Nuk vyn me punu ne institut per me kuptu qe per mu sheru, duhesh mu infektu niher, e ajo po besoj qe sna duhet.",8,"Monday, May 11, 2020 8:39pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
27,Gzim Rexhepi,0,11,2,"- Ndaloni së thëni ""Karantinë"". Karantina është për të sëmurët. Ky është arrest shtëpiak.- Ndaloni së thëni ""Distancim Social"". Këtu nuk ka asgjë sociale. Ky është izolim i detyruar. - Ndaloni së thëni ""Qëndrimi në shtëpi është më i sigurt"". Sepse për miliona njerëz në botë kjo situatë abuzive me shëndetin mendor të tyre, shtëpia e tyre është gjithçka vetëm e sigurt jo.- Ndaloni së thëni se kjo është për të ""mirën më të madhe"". Asgjë e mirë nuk mund të vijë nga caktimi i qeverisë se kush është i domosdoshëm e kush jo (kjo është është praktikë naziste). Secili individ dhe secili biznes është i domosdoshëm.- Dhe mbi të gjitha, ndaloni së thëni ""New Normal - Normalja e re"". Sepse nuk ka asgjë normale në lidhje me gjithë këtë.",4,"Monday, May 11, 2020 8:36pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
29,Ramma Bess,0,11,2,"Qysh be Viq nshpi  , a jeni normal. Duhet me punu , me  jetu , e ju qe jeni ne qeveri ,leht e keni .Ju.merrni rroge  edhe plus bonus.  E ne qe Po jem mbyll vetem Po fillon kriza psikike,  neveri  me familje nga shtresi nga  skamja  e ju dini muhabet. Secili  Le ta mbulohet me Maske edhe  e.mbron veten. Asht qmenduri  doni me na shti ne Depression,  shtresi krejt",6,"Monday, May 11, 2020 8:36pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
30,Ismajl Veliu,0,11,2,Ne Kosove ka me shume raste te reja te semure me kancer se sa me covid. Marre per juve nese prape tentoni me i shtrengu masat apo me kthy karantinen. Ose keni ndonje prapavije qe ne nuk po e dijme.,7,"Monday, May 11, 2020 8:36pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
31,Albion Fejza,0,11,2,"Raste 0 qe po pritni skan me ardh deri ne vaksin, kshtu qe msonu me jetu me to perndryshe  shume mire eshte deri sa nuk rrezikohet mos me pas vende spitalet.",2,"Monday, May 11, 2020 8:34pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
32,LF FL,0,11,2,Marre duhet me ju ardh bre qysh jeni tu fol... a nuk keni mujt me dal me dorza me majt diszant me dal veq me orar jo jeni dal meniher si trent.... e tash po thuni rrena jon? Qysh rrena oo qytetart vet na keni pru situaten tu dal,2,"Monday, May 11, 2020 8:33pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,1,0,0
33,Kosdata,0,11,2,"Statistikat e #covid19 ne Kosove(11.05.2020):Raste Infektimi: 895 (+11) 5-Studime e Eprme, 3-Prizren⚰Raste vdekje: 28 ( = )Te Sheruar: 657 (+2)Raste Aktive: 210 (+9)Testime: 10,130 (+196) sot vetem 5.6% e testeve kan rezultuar pozitiv.⚕️73.4% e rasteve te infektuar jan sherurar.⚰ 3.1% vdekshmeria nga koronavirusFollow Instagram https://www.instagram.com/kos.data/ Statistikat te paraqitura ne dashboard interaktiv:-> https://tabsoft.co/3e6ePfM-> https://tabsoft.co/2UeJiyT",0,"Monday, May 11, 2020 8:31pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
34,Qendrim Koraqi,0,11,2,Hajde rena hajdi ,2,"Monday, May 11, 2020 8:30pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,1,0,0
35,Nuhi Gigollaj,0,11,2,Na lodht  me kto  raste  pash zoten boll  ma,0,"Monday, May 11, 2020 8:29pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
37,Lirim Azemi,0,11,2,qita te ifektumt pe dim qe pa kujdesia po qita te sherumt pej 30 ran dy kush i nali mu sheru  zaher i kan la durt shum ?,0,"Monday, May 11, 2020 8:29pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,1,1,1
38,Elira,0,11,2,uuuuu ‍♀️ apet mshel edhe njo 3 muje ,1,"Monday, May 11, 2020 8:25pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,1,0,1
40,Eva Rama,0,11,2,Gjilani shpetuam sonte ,0,"Monday, May 11, 2020 8:23pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
41,Mensur Humolli,0,11,2,"Nuk eshte shume, cka eshte me rendesi 80% munden me kalu pa simptoma hic, jam per me i respektu masat, mirepo duhet te kemi parasysh qe edhe nese mbyllemi gjate, mundemi me u godit nga kriza ekonomike ose ndonje krize urije e ateher virusi as qe do permendet. ",67,"Monday, May 11, 2020 8:22pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
42,Vilson Dura,0,11,2,"Dyqysh si hajgare qekjo pun , veq ka 2 veta en dite  po sherohen e para do dite ka 40-50 veta en dite jane sheru ",0,"Monday, May 11, 2020 8:22pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
43,Driton Tahiri,0,11,2,"Rrini be , ja po dalum . Dilni pro",1,"Monday, May 11, 2020 8:22pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,1,1,1
44,Blerim Pre,0,11,2,Krejt gripin  grat po e perhapin llafe ne market llafe ne rrug duke u perqafu me kojshike e duke shkemby pipa te lulev ,43,"Monday, May 11, 2020 8:22pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,1,1,1
45,Ali Vitia,0,11,2,Sedi vallahi niher usherojshin ka 20 e ka 30 tash ka 2 sherohn ka 14 ka 11 ifktohen najkan perzi qitasht me kos ska qi bjn fije veq mu rujt osht mir sipas rekomandimv te institutit te shendetsis respekt per gjith mjeket  kjo ne temir tonen duht ti permbajm rregullat rri ne shpi,0,"Monday, May 11, 2020 8:21pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
46,Jeton Fetahu,0,11,2,Na ndihmoni pak tju ndihmojm shum  Pse a mos ket Zot ju a ?,1,"Monday, May 11, 2020 8:20pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,1,0
47,Lili Lili,0,11,2,Pom vjen qudi asni politikan nuk uprek nga ky virus veq popullata,8,"Monday, May 11, 2020 8:20pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,1,0
48,Korab Kernja,0,11,2,Futeni prishtinen ne karantin mos te vin gjethkushi ne pr se na muren ne qafe,1,"Monday, May 11, 2020 8:18pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
49,Ilirjana Bardhi,0,11,2,Z. A.  Peja ska ,1,"Monday, May 11, 2020 8:18pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
50,Şefki Safçi,0,11,2,"Kto jane rastet para dy jave qe jane infektu, deri sa kemi qene ne izolim te madhe.Por te presim dhe 1 jave dhe te shohim rastet pas izolimit duke ja nisur prej 4 majit..",3,"Monday, May 11, 2020 8:18pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
51,Florentina Mehmeti Ademi,0,11,2,Po 70 mostrat e marrura sot ne  Gjilan?!,0,"Monday, May 11, 2020 8:18pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
52,Argëtim Abazi,0,11,2,Kthene karantinen apet.,0,"Monday, May 11, 2020 8:18pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
53,Dior Gollaku,0,11,2,Se e nshun heret bajrakun populli. Mendun qe u largu virusi,0,"Monday, May 11, 2020 8:18pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,0,0,0
54,Eron Haziri,0,11,2,A. Ll. qfar mendimi ki masi dulem negativ,1,"Monday, May 11, 2020 8:17pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
55,Blerim Hakaj,0,11,2,Edhe 1 muj nkarantin,1,"Monday, May 11, 2020 8:17pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
56,Samiri Ok,0,11,2,"Par do dite te sheruar ka 50 , 70 etje e tashh 1 ,2 te sherumee spo ma rrokk hiqq diqkaaa.",3,"Monday, May 11, 2020 8:17pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,0,0,0
57,Safet Dushaku,0,11,2,"O marut tuj than po kujt more mazamakeq shumica nuk perdorin maska doreza ,Per ne market shkojn krejt familja dalin kerkah sjena zoti hajr e bafte!",2,"Monday, May 11, 2020 8:17pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
58,Ardit Shabani,0,11,2,O runu o popull se nuk osht hajgare ky sen ,4,"Monday, May 11, 2020 8:16pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
59,Driton Syla,0,11,2,ju  e pasni pas veq me na gzu pak tasht shtim i rastve su met me ju besu ma me mashtrime ,0,"Monday, May 11, 2020 8:16pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,1,0,0
60,Gëzim Dedinca,0,11,2,"Veq ta dime... qe qetash Instituti Kombëtar i Shëndetësisë Publike të Kosovës, i ka dy sfida nje Virusin edhe njerzt(na) qe ju kena bo kunder e po thom mos po fitojn qeta dy qe jane bo bashke .Te durojme edhe pak.",17,"Monday, May 11, 2020 8:16pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
62,Vitija Donart,0,11,2,Ajde bre Prishtine ma gjall ,2,"Monday, May 11, 2020 8:15pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,1,1,1
63,Fatlir Sylejmani,0,11,2,16 po tdalin o admin ne baz te vendbanimev qe i paske klasifiku,4,"Monday, May 11, 2020 8:15pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
64,Rasim Dullovi,0,11,2,Ka fillu m’ju lshu gjizaa ne minutat e fundit ☺️,0,"Monday, May 11, 2020 8:15pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,1,1,1
65,Fatlum Gashi,0,11,2,Prap keni nis mi vonu kur asht per mir pi qitni fill kur po asht per keq pi vanoi!,0,"Monday, May 11, 2020 8:15pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
66,Muhammed Dragobuzhda,0,11,2,"Nuk e di qka o ka bohet,  veq e di që mrenda m shel mo nuk ka mundesi me nejt,   boll u bo.",50,"Monday, May 11, 2020 8:14pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
68,Elvis Skeraj,0,11,2,"Ktu so ne rregull diqka , shum ka dyshime !",6,"Monday, May 11, 2020 8:13pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
69,Eda Enko,0,11,2,Mozomakeq ☹️,1,"Monday, May 11, 2020 8:13pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
70,Fatlum Gashi,0,11,2,Ka nis pak mu nxe situata a,0,"Monday, May 11, 2020 8:13pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,1,1,1
71,Limon Rahimi,0,11,2,E pse ska anjo te vetem  nGilan ? ,4,"Monday, May 11, 2020 8:13pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
72,Drita Muja,1,24,14,parja nuk i len mu lodh,0,"Wednesday, May 13, 2020 6:21pm GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,0,1,1,1
73,Koka Osman,1,24,14,Sa ma   pak teste mujshi se na dalin ma pak te infetum  hahah  pak hajgare,0,"Wednesday, May 13, 2020 5:31pm GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,1,1,1,1
74,Bashkim Hamiti,1,24,14,A lejohet mu Mbajt Protesta ne shesh ?,0,"Wednesday, May 13, 2020 12:37pm GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,0,0,1,0
75,Fasaderi Krasniqi,1,24,14,Na pasulin e presum 4 orë mu zier e n'sofer pervelohemi nuk kem durim !?,0,"Wednesday, May 13, 2020 11:27am GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,1,0,1,1
76,Ramma Bess,1,24,14,"A jeni tu e dite qe 2 muaj e gjyse Po presin ne Belgjike  Mu kthy ,akoma ska Asnje informate.Prindi im ka Probleme shendetsore qe 2 muaj  e gjyse  edhe shume te tjere po i shkruajme, kujt ti shkruaj, kujt. Qfare qeverie, kemi prit shume ma mire bile karantinen jekne, Secili neper shpija Le te vetizolohen.E jo me prit deri Sa te boshatiset, kjo ashte tmerr .Ju lutem Sa.ma shpejt boni diqka  se na keni dhone ju vet smundjen,  e ju merrni paga  plus bonuse,Ktheni bile qata familjar qe na kane mbet",0,"Wednesday, May 13, 2020 11:02am GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,0,0,0,0
77,Arberie Shabani-Qorri,1,24,14,Kush mundet me te ndal D. haha,1,"Wednesday, May 13, 2020 10:57am GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,1,0,0,0
78,Naile Çekaj,1,24,14,"Leni dizinformatat se jeni ba te pa durueshem. Krejt qe kane vdeke kane vdek nga smundje te ndryshme e ja keni ngjit Covid. A sben njeri as gripi me i ra a, as poleni me kap? Jo tahs vec kete virus e etiketoni. Turp",0,"Wednesday, May 13, 2020 6:01am GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,0,0,0,0
79,Driton Gashi,1,24,14,"Kjo osht loj Partiake , Mos luani me ndjena te popullit se sa nuk kem gufllu dhe nuk do ti shikojm masat , Shum po luani me ndjenja te njerzve dine kete .",0,"Wednesday, May 13, 2020 12:25am GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,0,0,0,0
82,Mitat Jerliu,1,24,14,"Me keqardhje, ne shtepi po duhet me sjell ushqim, nje pjes dermuse e popullit ne shumic, shpija ushqim nuk po jep, kundrazi po hargjohet ushqimi po edhe paret. Duhi ta gjeni nje ide tjeter, boll ma Rinshpi. Ne duhet te dalim ti grahim punes, me pru ushqim ne shpi. Po vin fakturat e rrymes te ujit te qeras te internetit, tatimi prones e tjera. Neve na duhet te dalim ne pun, po ju duhi ta rregulloni me ligj, ne rrug ndalohet me dal pa mask, ndalohet te dalin ne grupe, ndalohet mosha minore, aj qe del ne rrug pa maska a po ne pun, denimi 15€.  Maskat e dizinfektus duhet te dhurohen falas nga qeverija ne gjdo komun te kosoves. Po denimin mos me fal, po me denu, aj qe del pa mask ne rrug a po ku do jasht deres se shtepis. Kjo mas duhet te vendoset tash e tutje. Maska mbron sejcilin dhe zhduk ket pandemi ma se miri ne mesin ton. Te ndalohen musafiret, ska kurkun me shku me nejt. Po vetem ne pun e ne shpi, e ne shitore e markete, distanca 2 metra ku do ne resturane. Kjo mas duhet te hy ne pro",5,"Tuesday, May 12, 2020 9:56pm GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,0,0,0,0
83,Valon Mejzinolli,1,24,14,"Pas asaj proteste sot, ku rastesishte te gjithe e kishin pas nr e njete, si po prisni te tjeret me  i respektu reegullat, pse si institut nuk reagoni, as ministria perkatese askush tjeter !",2,"Tuesday, May 12, 2020 9:36pm GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,0,0,0,0
84,Ukshin Pakashtica,1,24,14,krejt kjo bre jan numra te institucionev sa mi mshel apet popullin po shpresoj te hjeken kto masa ndryshe do te ishte mir nje protest masive edhe ish ra prej sistemi gjithqka ,3,"Tuesday, May 12, 2020 9:35pm GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,0,1,0,0
85,Ali Mavriqi,1,24,14,okkkkkkkkk ,0,"Tuesday, May 12, 2020 9:14pm GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,0,0,0,0
86,Kadri Sakica,1,24,14,257 mostra si merrshi ma pak be bile sod ,0,"Tuesday, May 12, 2020 9:03pm GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,1,0,1,1
87,Drita Besart Sadikaj,1,24,14,Edhe nfutboll gjith  kem hup ne minutat shtes. Se mire e ka than A. at fjalen e lshojm bajrakun nfund na shqiptart,3,"Tuesday, May 12, 2020 9:03pm GMT","Tuesday, May 12, 2020 6:54pm GMT",https://www.facebook.com/IKSHPK/posts/2733754103419243,1,1,0,1
